,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04970.14,4.78814353385835e-40,0.00200671678016506,0.918,0.809,1.48911263902995e-37,16,hsa04970
hsa04925.14,5.97225566512929e-39,0.00134023799717271,0.83,0.629,1.85737151185521e-36,16,hsa04925
hsa00040.14,1.60485880659399e-38,0.000301556558196509,0.477,0.364,4.9911108885073e-36,16,hsa00040
hsa04915.12,8.65826674868089e-38,0.0013282635081502,0.247,0.111,2.69272095883976e-35,16,hsa04915
hsa04062.11,5.30726251703976e-35,0.000856623008595531,0.394,0.269,1.65055864279937e-32,16,hsa04062
hsa04926.14,5.83496937968529e-35,0.00171033773946081,0.792,0.636,1.81467547708213e-32,16,hsa04926
hsa04623.11,2.81913709325742e-32,0.000299026350884642,0.603,0.385,8.76751636003059e-30,16,hsa04623
hsa00140.12,3.0655216710089e-32,8.76615648789224e-05,0.509,0.387,9.53377239683769e-30,16,hsa00140
hsa05134.14,6.04406275916333e-30,0.000688174160361753,0.684,0.52,1.87970351809979e-27,16,hsa05134
hsa04022.15,4.45446384064154e-28,0.00448715824954239,0.919,0.867,1.38533825443952e-25,16,hsa04022
hsa05220.15,2.83899959178894e-27,0.00166184571512703,0.782,0.606,8.8292887304636e-25,16,hsa05220
hsa05143.13,9.03412475827173e-27,0.000130901963563057,0.334,0.161,2.80961279982251e-24,16,hsa05143
hsa05412.13,2.42918559032123e-26,0.00105511908888805,0.877,0.78,7.55476718589902e-24,16,hsa05412
hsa04610.4,2.77566244778459e-24,9.27326878243993e-05,0.103,0.076,8.63231021261006e-22,16,hsa04610
hsa04929.14,2.88304416749813e-24,0.000797465401415132,0.338,0.231,8.96626736091919e-22,16,hsa04929
hsa04261.11,5.09128555865108e-24,0.00147748828665997,0.781,0.657,1.58338980874049e-21,16,hsa04261
hsa05142.13,8.24480627424462e-24,0.00112037693583367,0.714,0.566,2.56413475129008e-21,16,hsa05142
hsa04714.15,1.07736257583956e-23,0.00333347185626551,0.88,0.794,3.35059761086102e-21,16,hsa04714
hsa04919.14,1.54004934778531e-23,0.00159957682527469,0.561,0.424,4.78955347161231e-21,16,hsa04919
hsa04728.15,5.6019156908693e-23,0.00157109017984108,0.757,0.616,1.74219577986035e-20,16,hsa04728
hsa00532.14,1.0188046238332e-20,0.000298897073688064,0.517,0.446,3.16848238012125e-18,16,hsa00532
