,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa05162.2,2.42731602297793e-12,7.99295221252407e-08,0.597,0.504,7.54895283146136e-10,6,hsa05162
hsa04668.2,2.80162715958067e-12,9.75207072160398e-08,0.235,0.164,8.71306046629588e-10,6,hsa04668
hsa04970.2,7.27701753304334e-11,4.17896648420023e-08,0.354,0.212,2.26315245277648e-08,6,hsa04970
hsa00340.2,1.46031826010243e-10,1.51287002052783e-08,0.248,0.251,4.54158978891856e-08,6,hsa00340
hsa00511,3.30992253055652e-09,2.9281365229942e-08,0.343,0.272,1.02938590700308e-06,6,hsa00511
hsa00030.1,1.0364323478939e-08,1.16468750830543e-07,0.202,0.13,3.22330460195004e-06,6,hsa00030
hsa04750.2,2.33092262682584e-08,8.44035710342293e-08,0.445,0.362,7.24916936942835e-06,6,hsa04750
hsa04216.2,3.93021912514994e-08,6.3398011362357e-08,0.341,0.266,1.22229814792163e-05,6,hsa04216
hsa00534,6.9301363743333e-08,4.04410412293676e-09,0.207,0.162,2.15527241241766e-05,6,hsa00534
hsa00051.1,9.77923216714748e-08,9.55779036976085e-08,0.19,0.142,3.04134120398287e-05,6,hsa00051
hsa05167.2,1.37697856966785e-07,1.34288554743049e-07,0.303,0.235,4.28240335166702e-05,6,hsa05167
hsa04144.2,1.39439510042389e-07,1.9964703790059e-07,0.493,0.43,4.3365687623183e-05,6,hsa04144
hsa00533.2,2.22036907363733e-07,8.06829142945005e-09,0.164,0.153,6.90534781901211e-05,6,hsa00533
hsa04926.2,3.7670706330462e-07,6.79739446635562e-08,0.238,0.162,0.000117155896687737,6,hsa04926
hsa05203.2,5.57966357097674e-07,9.72974115972374e-08,0.456,0.389,0.000173527537057376,6,hsa05203
hsa04966.1,1.06627732494112e-06,9.65990769033548e-09,0.531,0.387,0.000331612248056688,6,hsa04966
hsa05017.2,1.76573246782227e-06,9.81754643856216e-08,0.405,0.319,0.000549142797492726,6,hsa05017
hsa05163.2,1.78280827481353e-06,1.08791089455203e-07,0.233,0.171,0.000554453373467009,6,hsa05163
hsa04917.1,3.71615607894409e-06,7.18448525482657e-08,0.366,0.3,0.00115572454055161,6,hsa04917
hsa04350.1,7.61885223751724e-06,4.93808993124888e-08,0.505,0.441,0.00236946304586786,6,hsa04350
hsa05030.2,8.08138232741684e-06,1.42854211616553e-08,0.313,0.266,0.00251330990382664,6,hsa05030
