"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"10","PLPP1",2.5016247701455,0.362,0.06,8.23278012050738e-238
"10","EPAS1",2.41897140928553,0.363,0.066,1.32037729891663e-220
"10","HLA-E",2.34404498159173,0.404,0.086,8.18091438536802e-208
"11","CFH",3.48409127785749,0.632,0.017,0
"11","SLC4A11",3.2986560308591,0.431,0.007,0
"11","CCN2",3.18107985595382,0.438,0.05,0
"11","ENSG00000285417",2.64866465011068,0.604,0.084,0
"11","ALDH1A2",2.63390172636396,0.523,0.046,0
"11","TPM1",2.62064752765202,0.754,0.207,0
"11","CLDN1",2.30883534404554,0.311,0.017,0
"11","ANXA1",2.23297478301263,0.337,0.03,0
"11","KCNT2",2.14991771071412,0.353,0.015,0
"11","ITGB3",2.1384382778415,0.448,0.06,0
"11","LINC01435",1.63087956854156,0.291,0.007,0
"11","NPR1",1.4762281526104,0.264,0.023,2.91880343254683e-300
"11","ADGRG6",1.53433628530362,0.331,0.04,8.01178468942641e-288
"11","VCAM1",2.95189312666663,0.35,0.054,1.8177816938588e-242
"11","TNNT2",1.52644800276039,0.251,0.028,4.40050059521392e-229
"11","DNM1",1.5510234735332,0.396,0.077,1.40921391848058e-212
"11","ENSG00000243081",1.43549275285161,0.313,0.049,9.57486710542825e-209
"11","SIPA1L2",1.56408856217316,0.332,0.055,1.3698771410254e-207
"11","CRYAB",2.51021998937372,0.438,0.098,1.39158057676449e-205
"11","SYNE1",1.71920802806679,0.84,0.46,9.67305385593749e-195
"11","ATF3",2.38580084973469,0.358,0.075,8.77061589698349e-178
"11","CTTNBP2",1.71026666454543,0.409,0.097,2.68055273998725e-177
"11","CD200",1.48112056870934,0.344,0.071,1.34533379921633e-170
"11","DUSP1",1.86935450399092,0.716,0.326,2.73886620709434e-169
"11","BICD1",1.81961745240362,0.484,0.147,1.69373169246374e-163
"11","BCAM",1.69248369739868,0.575,0.207,5.29137187503729e-162
"11","ITGB8",1.66317980583535,0.584,0.219,3.27357319960163e-146
"11","OSBPL10",1.3855958047546,0.349,0.083,6.35096687028537e-146
"11","PROM1",1.44842309620137,0.287,0.058,2.33590844397e-142
"11","ARHGAP10",1.2479163461342,0.3,0.063,2.86045703090643e-140
"12","PTPRQ",5.93880649863789,0.976,0.01,0
"12","PLA2R1",5.90285421604893,0.99,0.095,0
"12","PTPRO",4.70341253133602,0.955,0.018,0
"12","MAGI2",4.60727585428573,0.949,0.171,0
"12","MAGI2-AS3",4.35130030811173,0.965,0.218,0
"12","ALS2CL",4.27613233121422,0.921,0.065,0
"12","PODXL",3.5997335527241,0.892,0.075,0
"12","NTNG1",3.54886257368325,0.809,0.011,0
"12","CLIC5",3.48863454366429,0.83,0.032,0
"12","ZDHHC6",3.47083052160542,0.878,0.099,0
"12","VEGFA",3.29165010298947,0.963,0.287,0
"12","NFASC",3.24870274253524,0.825,0.023,0
"12","PTGDS",3.16629508078246,0.782,0.038,0
"12","PLCE1",3.03300718807842,0.857,0.053,0
"12","TARID",2.97058246462579,0.734,0.007,0
"12","NPHS2",2.95525145762532,0.731,0.012,0
"12","FGF1",2.91762406329438,0.636,0.013,0
"12","NPHS1",2.89924213480615,0.733,0.009,0
"12","COL4A3",2.79979394590748,0.948,0.319,0
"12","SRGAP2",2.75463936463393,0.758,0.046,0
"12","TYRO3",2.74611135780747,0.707,0.012,0
"12","SRGAP2B",2.7319470991944,0.768,0.065,0
"12","ST3GAL6",2.7310267534009,0.812,0.109,0
"12","CR1",2.68635432144529,0.653,0.006,0
"12","MME",2.62851448400316,0.905,0.161,0
"12","SRGAP2C",2.62449795311547,0.7,0.031,0
"12","RIPOR1",2.60263452165047,0.758,0.076,0
"12","ENSG00000230027",2.59092911483971,0.618,0.002,0
"12","CDC14A",2.54179902071028,0.677,0.054,0
"12","ARHGAP28",2.4825639359668,0.682,0.037,0
"13","ITGB6",2.85108453523757,0.66,0.099,0
"13","TMPRSS4",1.67389955917975,0.331,0.025,0
"13","CD44",1.8699297737658,0.292,0.027,7.68135622325201e-256
"13","CYTOR",1.60677149782496,0.428,0.074,4.10736716665376e-208
"13","MIR4435-2HG",1.92465418728302,0.567,0.142,2.29743786339258e-187
"13","S100A2",2.53192293946126,0.382,0.068,2.43903809439235e-179
"13","PAPPA2",1.80998902733509,0.263,0.035,6.39446536131532e-164
"13","UPP1",2.24967524935362,0.418,0.087,9.90045052363414e-161
"13","VMP1",1.93086029969732,0.802,0.37,1.87216777672564e-143
"13","MET",1.51817362433872,0.469,0.125,8.84347522256093e-134
"13","KCNIP4",1.25419302266583,0.515,0.145,2.28764379406169e-133
"13","WEE1",1.50707871991967,0.369,0.079,4.27094000169653e-133
"13","SLC16A5",1.3000129938415,0.394,0.089,2.04295830424108e-131
"13","ITGA3",1.59682154270026,0.452,0.12,1.55468366521785e-125
"13","ERBB4",1.38694089244655,0.613,0.214,1.45066737087359e-123
"13","ENSG00000270069",2.24689882491187,0.413,0.113,1.99360523618182e-111
"13","KLHL13",1.11954235771992,0.369,0.089,6.53303875404144e-110
"13","TCIM",1.55159683895051,0.452,0.135,2.16012681669121e-104
"13","MGLL",1.34812053421484,0.399,0.109,2.61917316353114e-102
"13","ACSL4",1.52140573554785,0.474,0.149,9.40781464292961e-100
"13","SLC12A1",1.02239697271012,0.635,0.225,7.28384220926783e-99
"13","NFKBIZ",1.59867400043228,0.495,0.168,3.7730970850703e-96
"13","DGKH",1.11244627135003,0.483,0.158,2.75318137377929e-94
"13","PPP1CB",1.23510052243211,0.575,0.224,1.05619587248941e-92
"13","FAM110C",1.13669436695856,0.282,0.064,6.55829022839397e-89
"13","BBOX1",1.74878172348818,0.282,0.066,6.56615542259952e-89
"13","LINC01606",0.99384040209357,0.445,0.139,1.08828949520484e-88
"13","PFKP",0.970096623093254,0.428,0.131,2.19879149351531e-88
"13","WFDC2",0.884586257160682,0.263,0.057,1.45632096605782e-85
"13","GPR132",0.990703577190417,0.307,0.076,4.59094577696584e-85
"14","SLC26A4",5.24982046896054,0.824,0.013,0
"14","SLC4A9",5.19591826098194,0.992,0.099,0
"14","ENSG00000249601",3.53980882089889,0.919,0.092,0
"14","IL18",3.24304833953721,0.743,0.094,0
"14","INSRR",3.2114072730594,0.675,0.003,0
"14","PLCG2",3.04876411443813,0.799,0.173,0
"14","DGKI",2.86027483053016,0.535,0.017,0
"14","KRT7",2.80249269978837,0.614,0.038,0
"14","ATP6V0A4",2.6519380926554,0.756,0.172,0
"14","IGFBP5",2.61201275680606,0.66,0.106,0
"14","BCO2",2.54869418274877,0.418,0.031,0
"14","GPSM2",2.54134329938872,0.475,0.047,0
"14","ENSG00000255292",2.41482990434791,0.43,0.037,0
"14","ENSG00000265460",2.40325648188251,0.666,0.076,0
"14","LINC00710",2.36164546091341,0.432,0.006,0
"14","CA8",2.34144668149668,0.54,0.044,0
"14","CELF2",2.31875666023524,0.469,0.03,0
"14","SEMA3C",2.27428682822408,0.555,0.069,0
"14","ATP6V0D2",2.19681070733046,0.567,0.086,0
"14","ATP6V1G3",2.17835229181366,0.486,0.048,0
"14","CLNK",2.15052687598876,0.743,0.09,0
"14","SAMHD1",2.14297511575687,0.418,0.022,0
"14","ATP6V1C2",2.1391337631085,0.615,0.084,0
"14","NTRK1",2.13367002199804,0.383,0.001,0
"14","TLDC2",1.89173709979596,0.349,0.002,0
"14","HEPACAM2",1.78610335063014,0.366,0.024,0
"14","SLC35F3",1.78279309548912,0.293,0.003,0
"14","B4GALNT2",1.73756591465559,0.347,0.022,0
"14","TSPAN8",1.69992054320244,0.315,0.015,0
"14","PACRG",1.9120662454631,0.456,0.063,5.87301353222725e-269
"15","ENSG00000249669",3.9325674357281,0.553,0.005,0
"15","PDGFRB",2.54410648085099,0.357,0.018,0
"15","CALD1",3.30536551282702,0.757,0.17,5.43551606308838e-302
"15","AEBP1",2.3951473372912,0.262,0.017,2.21779082802331e-277
"15","MEIS1",2.27873966353994,0.317,0.028,3.06293165837393e-252
"15","MGP",3.01976071630952,0.294,0.027,1.42943586283064e-230
"15","COL12A1",2.23633000160899,0.251,0.021,6.46691602972318e-213
